feedback_id,store_id,market,unit_type,signal,field_note,pricing_response,status
FF001,STO025,Los Angeles CA,10x15 Drive-Up,Access friction,Gate or elevator issue may be suppressing conversion until resolved.,Raise street rate,Incorporated
FF002,STO025,Los Angeles CA,10x20 Drive-Up,Move-out pressure,Manager expects student or apartment turnover to raise move-outs next week.,Raise street rate,Incorporated
FF003,STO008,Dallas TX,10x20 Drive-Up,Unit scarcity,Store has limited availability in the requested unit type.,Protect occupancy,Waiting on field confirmation
FF004,STO035,Tampa FL,10x20 Drive-Up,Lead quality,Field team sees more quote shoppers than booked rentals this week.,Hold rate and test promo,Needs analyst review
FF005,STO025,Los Angeles CA,10x10 Climate,Competitive concession,Local manager reports a nearby operator added first-month promotion.,Raise street rate,Needs analyst review
FF006,STO025,Los Angeles CA,5x10 Climate,Unit scarcity,Store has limited availability in the requested unit type.,Raise street rate,Needs analyst review
FF007,STO011,Los Angeles CA,10x20 Drive-Up,Access friction,Gate or elevator issue may be suppressing conversion until resolved.,Protect occupancy,Needs analyst review
FF008,STO015,Philadelphia PA,5x5 Interior,Unit scarcity,Store has limited availability in the requested unit type.,Hold with watchlist,Waiting on field confirmation
FF009,STO033,Miami FL,10x15 Drive-Up,Unit scarcity,Store has limited availability in the requested unit type.,Raise street rate,Incorporated
FF010,STO011,Los Angeles CA,10x15 Drive-Up,Access friction,Gate or elevator issue may be suppressing conversion until resolved.,Protect occupancy,Incorporated
FF011,STO008,Dallas TX,5x5 Interior,Competitive concession,Local manager reports a nearby operator added first-month promotion.,Protect occupancy,Incorporated
FF012,STO040,San Diego CA,10x20 Drive-Up,Competitive concession,Local manager reports a nearby operator added first-month promotion.,Raise street rate,Needs analyst review
FF013,STO028,Charlotte NC,5x10 Climate,Competitive concession,Local manager reports a nearby operator added first-month promotion.,Raise street rate,Incorporated
FF014,STO035,Tampa FL,10x15 Drive-Up,Competitive concession,Local manager reports a nearby operator added first-month promotion.,Hold rate and test promo,Needs analyst review
FF015,STO006,Orlando FL,10x20 Drive-Up,Move-out pressure,Manager expects student or apartment turnover to raise move-outs next week.,Protect occupancy,Waiting on field confirmation
FF016,STO008,Dallas TX,10x15 Drive-Up,Competitive concession,Local manager reports a nearby operator added first-month promotion.,Protect occupancy,Waiting on field confirmation
